model,serial_no,image_name,image_type,image_path,image_ext,file_size,file_mtime
EOS_T001-BOT,26,G2_IC2.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000026\G2_IC2.jpg,.jpg,12309,2025-10-20 15:11
EOS_T001-BOT,26,G3_IC2.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000026\G3_IC2.jpg,.jpg,12141,2025-10-20 15:11
EOS_T001-BOT,40,G0_IC2.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000040\G0_IC2.jpg,.jpg,12490,2025-10-20 15:11
EOS_T001-BOT,42,G3_IC2.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000042\G3_IC2.jpg,.jpg,12141,2025-10-20 15:11
EOS_T001-BOT,49,G1_IC2.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000049\G1_IC2.jpg,.jpg,12053,2025-10-20 15:11
EOS_T001-BOT,65,G1_IC2.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000065\G1_IC2.jpg,.jpg,12053,2025-10-20 15:11
EOS_T001-BOT,66,G3_IC2.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000066\G3_IC2.jpg,.jpg,12141,2025-10-20 15:11
EOS_T001-BOT,113,G1_R14.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000113\G1_R14.jpg,.jpg,3255,2025-10-20 15:11
EOS_T001-BOT,113,G1_R17.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000113\G1_R17.jpg,.jpg,3265,2025-10-20 15:11
EOS_T001-BOT,152,G3_C3.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000152\G3_C3.jpg,.jpg,2535,2025-10-20 15:11
