KO,발생시간,기판명,기판 코멘트,에러/작업번호,내용,상세,작업자,생산품종,면 정보,생산로트,source_file
KO,2025-11-20 17:39:13,SEIL-KYK30K_MAIN,,Ea29699,인터록 덤프박스 장착 센서,,관리자,,,,ErrLog_SEIL-KYK30K_MAIN_34_20251120.csv
KO,2025-11-20 18:29:22,SEIL-KYK30K_MAIN,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SEIL-KYK30K_MAIN_34_20251120.csv
KO,2025-11-21 12:29:00,SEIL-AIRDEEP_M_BOT_251113,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_0_20251121.csv
KO,2025-11-21 12:29:03,SEIL-AIRDEEP_M_BOT_251113,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_0_20251121.csv
KO,2025-11-21 14:05:23,SEIL-AIRDEEP_M_TOP_251113,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_TOP_251113_0_20251121.csv
KO,2025-11-21 17:58:55,SEIL-AIRDEEP_M_TOP_251113,,Ea12388,장비의 전원OFF 완료,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_TOP_251113_0_20251121.csv
KO,2025-11-24 10:26:04,,,Ea12387,장비의 전원ON 완료,OmAuto Address=baafec00,디폴트 작업자,,,,ErrLog__0_20251124.csv
KO,2025-11-26 15:45:02,SH-G1408CH_FULL,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SH-G1408CH_FULL_0_20251126.csv
KO,2025-11-26 15:46:26,SH-G1408CH_FULL,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SH-G1408CH_FULL_0_20251126.csv
KO,2025-11-28 13:21:19,SH-G1408CH_FULL,,Ea12388,장비의 전원OFF 완료,,관리자,,,,ErrLog_SH-G1408CH_FULL_0_20251128.csv
KO,2025-12-01 10:12:10,,,Ea12387,장비의 전원ON 완료,OmAuto Address=ba6f2c00,디폴트 작업자,,,,ErrLog__0_20251201.csv
KO,2025-12-01 17:27:51,SEIL-AIRDEEP_M_BOT_251113,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_0_20251201.csv
KO,2025-12-01 17:28:40,SEIL-AIRDEEP_M_BOT_251113,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_0_20251201.csv
KO,2025-12-01 17:36:48,SEIL-AIRDEEP_M_TOP_251113,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_TOP_251113_0_20251201.csv
KO,2025-12-01 17:45:14,SEIL-AIRDEEP_M_BOT_251113,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_0_20251201.csv
KO,2025-12-01 17:54:11,SEIL-AIRDEEP_M_BOT_251113,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_0_20251201.csv
KO,2025-12-02 10:29:31,SEIL-AIRDEEP_M_TOP_251113,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_TOP_251113_0_20251202.csv
KO,2025-12-02 11:34:41,SEIL-AIRDEEP_M_BOT_251113,,O13187,샤프트 청소 블로우 정상 종료,/TableA,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_0_20251202.csv
KO,2025-12-02 11:34:47,SEIL-AIRDEEP_M_BOT_251113,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_0_20251202.csv
KO,2025-12-02 11:38:28,SEIL-AIRDEEP_M_BOT_251113,,Ea31,부품흡착 에러,/TableA/M7/H8/C18/F33/VE150/FdrID=SSY-008-0452620B,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_0_20251202.csv
KO,2025-12-02 11:42:25,SEIL-AIRDEEP_M_BOT_251113,,Ea12968,도중부터 운전,(버튼)예 /레인1 /실장위치,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_0_20251202.csv
KO,2025-12-02 11:42:25,SEIL-AIRDEEP_M_BOT_251113,,Ea13339,도중부터 탑재,(버튼)OK,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_0_20251202.csv
KO,2025-12-02 11:55:29,SEIL-AIRDEEP_M_BOT_251113,,Ea12894,기판 불명,(버튼)예 /레인1 /실장위치,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_0_20251202.csv
KO,2025-12-02 13:01:34,SEIL-AIRDEEP_M_BOT_251113,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_1_20251202.csv
KO,2025-12-02 13:02:32,SEIL-AIRDEEP_M_TOP_251113,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_TOP_251113_0_20251202.csv
KO,2025-12-02 13:04:46,SEIL-AIRDEEP_M_TOP_251113,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_TOP_251113_0_20251202.csv
KO,2025-12-02 13:07:47,SEIL-AIRDEEP_M_TOP_251113,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_TOP_251113_0_20251202.csv
KO,2025-12-02 13:08:36,SEIL-AIRDEEP_M_TOP_251113,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_TOP_251113_0_20251202.csv
KO,2025-12-02 15:04:01,SEIL-AIRDEEP_M_TOP_251113,,Ea12894,기판 불명,(버튼)예 /레인1 /실장위치,관리자,,,,ErrLog_SEIL-AIRDEEP_M_TOP_251113_0_20251202.csv
KO,2025-12-02 15:04:09,SEIL-AIRDEEP_M_TOP_251113,,Es10007,Es00007: 오버 커런트,ZA5 (1) ,관리자,,,,ErrLog_SEIL-AIRDEEP_M_TOP_251113_0_20251202.csv
KO,2025-12-02 15:04:12,SEIL-AIRDEEP_M_TOP_251113,,Ea109,장착 동작중의 축정지,/TableA/M6/H5/EX4:1,관리자,,,,ErrLog_SEIL-AIRDEEP_M_TOP_251113_0_20251202.csv
KO,2025-12-02 15:06:53,SEIL-AIRDEEP_M_TOP_251113,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_TOP_251113_0_20251202.csv
KO,2025-12-02 15:07:05,SEIL-AIRDEEP_M_TOP_251113,,Ea12894,기판 불명,(버튼)예 /레인1 /실장위치,관리자,,,,ErrLog_SEIL-AIRDEEP_M_TOP_251113_0_20251202.csv
KO,2025-12-02 17:17:06,SEIL-AIRDEEP_M_TOP_251113,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_TOP_251113_67_20251202.csv
KO,2025-12-03 11:41:14,SEIL-AIRDEEP_M_TOP_251113,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_TOP_251113_67_20251203.csv
KO,2025-12-03 11:43:28,SEIL-AIRDEEP_M_BOT_251113,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_0_20251203.csv
KO,2025-12-03 11:43:41,SEIL-AIRDEEP_M_BOT_251113,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_0_20251203.csv
KO,2025-12-03 15:40:40,SEIL-CONTROLLER_COMM_251203,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SEIL-CONTROLLER_COMM_251203_0_20251203.csv
KO,2025-12-03 15:56:54,SEIL-CONTROLLER_COMM_251203,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-CONTROLLER_COMM_251203_0_20251203.csv
KO,2025-12-03 16:52:42,SEIL-CONTROLLER_COMM_251203,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-CONTROLLER_COMM_251203_0_20251203.csv
KO,2025-12-03 17:30:23,SEIL-CONTROLLER_COMM_251203,,Ea30101,피더 미검출,/TableA/F8/FdrID=,관리자,,,,ErrLog_SEIL-CONTROLLER_COMM_251203_0_20251203.csv
KO,2025-12-04 11:40:38,SEIL-CONTROLLER_COMM_251203,,O13187,샤프트 청소 블로우 정상 종료,/TableA,관리자,,,,ErrLog_SEIL-CONTROLLER_COMM_251203_0_20251204.csv
